Date,Product,Category,Region,Sales,Revenue,Margin (%),Channel
2024-03-14,Kurtka zimowa,Odzież,Francja,36,28935.92,28.0,Partner B2B
2024-05-31,MacBook Pro,Elektronika,Polska,3,5151.11,19.77,Sklep Stacjonarny
2024-07-01,T-shirt basic,Odzież,Polska,13,37767.53,8.2,Sklep Online
2024-08-19,Lodówka Samsung,AGD,Włochy,46,99374.0,26.87,Partner B2B
2024-04-09,Lodówka Samsung,AGD,Włochy,39,25896.08,13.77,Partner B2B
2024-01-17,Pralka LG,AGD,Hiszpania,15,38335.07,10.3,Sklep Online
2024-01-08,Tablet Lenovo,Elektronika,Polska,2,4368.44,20.33,Sklep Online
2024-05-09,Samsung Galaxy S22,Elektronika,Polska,24,18127.67,25.62,Sklep Online
2024-10-28,Spodnie jeans,Odzież,Włochy,4,1376.13,21.8,Sklep Stacjonarny
2024-05-27,Mikrofalówka Sharp,AGD,Niemcy,47,92718.38,20.07,Partner B2B
2024-11-15,iPhone 14,Elektronika,Włochy,17,36381.78,29.1,Sklep Stacjonarny
2024-08-21,Buty sportowe,Odzież,Niemcy,21,36254.27,21.54,Sklep Online
2024-07-06,Kurtka zimowa,Odzież,Francja,29,61764.75,18.49,Partner B2B
2024-08-09,iPhone 14,Elektronika,Polska,36,104510.42,7.76,Partner B2B
2024-02-18,iPhone 14,Elektronika,Francja,3,1596.66,25.19,Sklep Online
2024-03-10,Lodówka Samsung,AGD,Polska,6,5504.19,17.96,Partner B2B
2024-10-08,Spodnie jeans,Odzież,Polska,38,21200.01,28.32,Sklep Online
2024-10-24,Samsung Galaxy S22,Elektronika,Francja,17,973.73,11.01,Sklep Stacjonarny
2024-10-20,MacBook Pro,Elektronika,Polska,30,31884.01,18.56,Sklep Online
2024-11-03,Słuchawki Sony,Elektronika,Włochy,12,22016.58,10.15,Partner B2B
2024-03-25,T-shirt basic,Odzież,Niemcy,50,80164.57,16.74,Sklep Stacjonarny
2024-10-24,iPhone 14,Elektronika,Hiszpania,37,74851.33,18.75,Sklep Stacjonarny
2024-06-28,Zmywarka Bosch,AGD,Francja,23,29437.96,9.85,Sklep Online
2024-07-02,Lodówka Samsung,AGD,Niemcy,28,46003.49,16.51,Sklep Stacjonarny
2024-02-19,T-shirt basic,Odzież,Włochy,27,44292.33,12.9,Sklep Stacjonarny
2024-06-12,Buty sportowe,Odzież,Włochy,4,4633.54,12.79,Sklep Stacjonarny
2024-04-03,Kurtka zimowa,Odzież,Niemcy,25,74703.55,21.16,Partner B2B
2024-07-02,Kurtka zimowa,Odzież,Włochy,26,28176.01,25.74,Sklep Stacjonarny
2024-09-11,Lodówka Samsung,AGD,Włochy,30,62027.1,23.58,Sklep Stacjonarny
2024-06-03,Buty sportowe,Odzież,Niemcy,8,8148.96,6.36,Partner B2B
2024-03-28,Słuchawki Sony,Elektronika,Niemcy,49,23170.12,26.79,Sklep Online
2024-05-15,Zmywarka Bosch,AGD,Francja,30,47693.92,23.68,Partner B2B
2024-04-19,Tablet Lenovo,Elektronika,Francja,15,29959.47,8.14,Sklep Stacjonarny
2024-04-16,Spodnie jeans,Odzież,Niemcy,12,19899.44,27.28,Partner B2B
2024-10-25,Buty sportowe,Odzież,Francja,45,72049.32,18.31,Sklep Stacjonarny
2024-12-06,iPhone 14,Elektronika,Hiszpania,22,18544.67,24.07,Sklep Online
2024-05-04,Pralka LG,AGD,Niemcy,48,29435.96,15.12,Sklep Stacjonarny
2024-01-30,Słuchawki Sony,Elektronika,Francja,1,449.63,19.41,Partner B2B
2024-03-21,T-shirt basic,Odzież,Francja,6,17426.97,28.8,Sklep Stacjonarny
2024-03-13,Samsung Galaxy S22,Elektronika,Francja,16,42440.39,18.71,Sklep Stacjonarny
2024-03-26,Lodówka Samsung,AGD,Włochy,30,34684.76,9.33,Sklep Stacjonarny
2024-10-05,T-shirt basic,Odzież,Hiszpania,46,125010.6,28.86,Sklep Online
2024-12-10,Spodnie jeans,Odzież,Włochy,47,51036.03,27.76,Sklep Online
2024-01-15,Kurtka zimowa,Odzież,Niemcy,1,379.56,24.33,Sklep Stacjonarny
2024-05-19,Kurtka zimowa,Odzież,Polska,34,81566.24,22.47,Sklep Online
2024-10-10,Buty sportowe,Odzież,Włochy,33,35882.94,8.18,Partner B2B
2024-02-08,Słuchawki Sony,Elektronika,Polska,27,22677.93,24.97,Sklep Stacjonarny
2024-06-03,Samsung Galaxy S22,Elektronika,Francja,3,3463.82,25.94,Sklep Stacjonarny
2024-09-04,Spodnie jeans,Odzież,Niemcy,8,16313.35,13.12,Sklep Online
2024-11-19,Tablet Lenovo,Elektronika,Hiszpania,23,17310.39,17.0,Sklep Stacjonarny
2024-11-03,Lodówka Samsung,AGD,Polska,2,921.99,28.6,Sklep Online
2024-03-11,Spodnie jeans,Odzież,Włochy,1,1712.88,27.15,Sklep Stacjonarny
2024-02-28,T-shirt basic,Odzież,Włochy,18,36352.32,7.92,Sklep Online
2024-03-14,iPhone 14,Elektronika,Polska,23,52895.5,29.83,Sklep Online
2024-06-11,Słuchawki Sony,Elektronika,Włochy,5,11846.7,20.07,Partner B2B
2024-04-27,Samsung Galaxy S22,Elektronika,Francja,3,8801.53,7.01,Partner B2B
2024-02-14,Spodnie jeans,Odzież,Niemcy,16,12927.68,5.53,Sklep Stacjonarny
2024-05-31,Kurtka zimowa,Odzież,Niemcy,41,66063.42,14.89,Partner B2B
2024-07-22,Spodnie jeans,Odzież,Polska,23,61973.34,22.06,Sklep Stacjonarny
2024-02-26,Zmywarka Bosch,AGD,Hiszpania,21,14249.67,24.12,Partner B2B
2024-03-23,Lodówka Samsung,AGD,Hiszpania,46,66621.33,28.8,Sklep Online
2024-09-30,Samsung Galaxy S22,Elektronika,Hiszpania,38,23904.65,17.39,Sklep Online
2024-02-28,Lodówka Samsung,AGD,Niemcy,24,20281.93,10.14,Sklep Stacjonarny
2024-09-10,Kurtka zimowa,Odzież,Polska,9,10050.35,5.15,Sklep Stacjonarny
2024-05-06,Samsung Galaxy S22,Elektronika,Włochy,35,100319.72,15.96,Partner B2B
2024-10-05,Kurtka zimowa,Odzież,Niemcy,24,49287.96,10.97,Partner B2B
2024-02-25,Lodówka Samsung,AGD,Włochy,43,21668.37,21.56,Sklep Stacjonarny
2024-09-20,Słuchawki Sony,Elektronika,Francja,32,13523.59,7.48,Sklep Stacjonarny
2024-04-14,iPhone 14,Elektronika,Polska,19,32342.29,18.46,Sklep Online
2024-01-19,Mikrofalówka Sharp,AGD,Hiszpania,28,34856.97,17.29,Sklep Online
2024-10-27,Pralka LG,AGD,Włochy,47,99532.01,21.64,Sklep Stacjonarny
2024-07-14,Spodnie jeans,Odzież,Hiszpania,26,20497.04,7.62,Partner B2B
2024-11-24,Tablet Lenovo,Elektronika,Niemcy,13,6061.55,19.83,Sklep Online
2024-10-03,Pralka LG,AGD,Niemcy,19,38642.16,18.72,Partner B2B
2024-10-20,Zmywarka Bosch,AGD,Niemcy,13,13840.36,15.35,Sklep Online
2024-04-13,MacBook Pro,Elektronika,Włochy,3,2781.35,15.81,Sklep Stacjonarny
2024-10-09,Kurtka zimowa,Odzież,Włochy,32,61861.75,6.58,Partner B2B
2024-03-29,Pralka LG,AGD,Polska,46,129202.26,12.52,Partner B2B
2024-09-14,MacBook Pro,Elektronika,Włochy,1,831.03,16.68,Sklep Online
2024-12-30,Lodówka Samsung,AGD,Włochy,28,71260.26,26.42,Partner B2B
2024-03-07,Lodówka Samsung,AGD,Polska,5,7968.12,6.21,Sklep Stacjonarny
2024-09-19,Słuchawki Sony,Elektronika,Włochy,25,17289.08,26.31,Partner B2B
2024-03-02,Zmywarka Bosch,AGD,Włochy,29,37063.78,8.85,Sklep Stacjonarny
2024-12-07,Słuchawki Sony,Elektronika,Niemcy,6,3626.26,8.56,Sklep Online
2024-10-29,Buty sportowe,Odzież,Hiszpania,39,13025.48,14.94,Sklep Stacjonarny
2024-02-12,Mikrofalówka Sharp,AGD,Hiszpania,32,85215.29,21.01,Sklep Online
2024-12-05,Tablet Lenovo,Elektronika,Hiszpania,32,54297.33,21.21,Sklep Online
2024-01-20,Mikrofalówka Sharp,AGD,Polska,13,7292.2,15.54,Partner B2B
2024-05-10,Zmywarka Bosch,AGD,Niemcy,4,2011.33,14.04,Sklep Stacjonarny
2024-11-25,Kurtka zimowa,Odzież,Polska,4,623.16,23.85,Partner B2B
2024-05-19,Słuchawki Sony,Elektronika,Hiszpania,34,9380.16,15.09,Sklep Stacjonarny
2024-06-14,Spodnie jeans,Odzież,Włochy,4,4651.87,29.47,Sklep Online
2024-10-10,Lodówka Samsung,AGD,Hiszpania,12,991.97,6.79,Partner B2B
2024-02-24,Spodnie jeans,Odzież,Hiszpania,39,56348.61,21.05,Partner B2B
2024-12-11,iPhone 14,Elektronika,Hiszpania,35,63939.78,17.82,Sklep Stacjonarny
2024-02-14,Słuchawki Sony,Elektronika,Hiszpania,3,8831.75,20.11,Partner B2B
2024-11-25,iPhone 14,Elektronika,Francja,28,72776.05,6.12,Sklep Stacjonarny
2024-08-08,Słuchawki Sony,Elektronika,Francja,17,5115.19,10.39,Partner B2B
2024-09-06,Spodnie jeans,Odzież,Polska,27,62705.15,15.75,Sklep Online
2024-04-12,Samsung Galaxy S22,Elektronika,Hiszpania,27,47166.8,9.36,Sklep Stacjonarny
2024-03-15,iPhone 14,Elektronika,Niemcy,39,76924.33,20.25,Sklep Stacjonarny
2024-09-23,Spodnie jeans,Odzież,Francja,36,7413.44,28.11,Sklep Stacjonarny
2024-02-05,MacBook Pro,Elektronika,Hiszpania,16,38484.12,10.41,Partner B2B
2024-10-29,MacBook Pro,Elektronika,Francja,14,30486.28,6.09,Sklep Online
2024-12-25,iPhone 14,Elektronika,Włochy,10,5880.48,11.59,Partner B2B
2024-09-24,Kurtka zimowa,Odzież,Niemcy,15,11471.38,29.26,Sklep Online
2024-04-28,Słuchawki Sony,Elektronika,Niemcy,22,4500.23,28.68,Sklep Stacjonarny
2024-05-09,Buty sportowe,Odzież,Hiszpania,44,65611.18,24.67,Sklep Stacjonarny
2024-11-15,Buty sportowe,Odzież,Polska,27,53899.74,14.48,Partner B2B
2024-08-18,Pralka LG,AGD,Polska,11,19792.78,12.5,Partner B2B
2024-08-19,MacBook Pro,Elektronika,Włochy,38,46078.97,9.76,Sklep Online
2024-09-09,Zmywarka Bosch,AGD,Francja,49,42571.23,16.11,Sklep Stacjonarny
2024-07-08,MacBook Pro,Elektronika,Polska,39,105002.58,22.14,Sklep Stacjonarny
2024-11-29,Słuchawki Sony,Elektronika,Hiszpania,48,138295.89,9.61,Sklep Stacjonarny
2024-06-10,Mikrofalówka Sharp,AGD,Hiszpania,24,70363.31,26.11,Sklep Online
2024-05-27,Lodówka Samsung,AGD,Francja,32,56980.25,25.45,Sklep Online
2024-09-24,Samsung Galaxy S22,Elektronika,Francja,4,1363.47,18.83,Sklep Stacjonarny
2024-10-04,Samsung Galaxy S22,Elektronika,Hiszpania,21,50889.94,17.72,Sklep Online
2024-03-19,Tablet Lenovo,Elektronika,Niemcy,23,39433.35,22.94,Sklep Stacjonarny
2024-02-07,Buty sportowe,Odzież,Francja,50,138393.33,8.82,Sklep Stacjonarny
2024-01-19,Buty sportowe,Odzież,Hiszpania,14,24831.88,27.25,Partner B2B
2024-05-07,Lodówka Samsung,AGD,Włochy,7,13116.21,12.47,Partner B2B
2024-01-20,Kurtka zimowa,Odzież,Polska,44,102045.0,18.83,Partner B2B
2024-12-19,Kurtka zimowa,Odzież,Włochy,49,75963.02,14.9,Sklep Online
2024-03-04,Zmywarka Bosch,AGD,Polska,16,23302.56,13.91,Partner B2B
2024-05-26,Spodnie jeans,Odzież,Francja,42,31768.95,19.69,Sklep Stacjonarny
2024-05-09,Samsung Galaxy S22,Elektronika,Polska,25,35819.26,8.37,Sklep Stacjonarny
2024-04-11,Samsung Galaxy S22,Elektronika,Polska,49,32143.55,24.11,Sklep Stacjonarny
2024-05-17,iPhone 14,Elektronika,Niemcy,26,72876.05,16.5,Sklep Online
2024-06-15,Słuchawki Sony,Elektronika,Niemcy,41,64501.04,10.65,Sklep Online
2024-08-05,Mikrofalówka Sharp,AGD,Francja,24,4650.72,17.62,Sklep Stacjonarny
2024-02-28,Kurtka zimowa,Odzież,Francja,25,14050.65,9.12,Sklep Online
2024-04-26,Tablet Lenovo,Elektronika,Włochy,24,32892.83,22.69,Sklep Online
2024-09-29,Lodówka Samsung,AGD,Włochy,31,92834.34,21.22,Partner B2B
2024-02-09,Samsung Galaxy S22,Elektronika,Hiszpania,46,28865.59,20.89,Sklep Stacjonarny
2024-03-28,iPhone 14,Elektronika,Włochy,7,7748.41,11.61,Sklep Stacjonarny
2024-09-17,Słuchawki Sony,Elektronika,Niemcy,13,29812.83,9.25,Sklep Stacjonarny
2024-07-09,Spodnie jeans,Odzież,Włochy,47,122578.87,21.52,Sklep Online
2024-10-02,T-shirt basic,Odzież,Włochy,26,17684.2,22.47,Sklep Stacjonarny
2024-08-28,Lodówka Samsung,AGD,Włochy,39,110280.04,27.04,Sklep Online
2024-11-05,Spodnie jeans,Odzież,Polska,32,53123.37,15.28,Partner B2B
2024-03-26,iPhone 14,Elektronika,Niemcy,7,10154.61,24.47,Sklep Online
2024-09-08,Kurtka zimowa,Odzież,Francja,1,1459.01,8.7,Sklep Stacjonarny
2024-01-17,Kurtka zimowa,Odzież,Niemcy,42,95949.49,22.62,Partner B2B
2024-12-04,Lodówka Samsung,AGD,Hiszpania,30,87058.47,29.99,Sklep Stacjonarny
2024-09-01,Tablet Lenovo,Elektronika,Hiszpania,12,7638.98,27.85,Sklep Online
2024-06-17,T-shirt basic,Odzież,Niemcy,22,8651.52,29.33,Partner B2B
2024-01-09,T-shirt basic,Odzież,Francja,14,32158.45,22.1,Sklep Online
2024-09-06,Samsung Galaxy S22,Elektronika,Włochy,21,52644.2,8.07,Partner B2B
2024-02-15,Samsung Galaxy S22,Elektronika,Polska,8,5385.44,18.66,Sklep Stacjonarny
2024-07-06,T-shirt basic,Odzież,Francja,27,52107.37,9.21,Sklep Stacjonarny
2024-10-13,Pralka LG,AGD,Polska,35,27390.89,23.56,Sklep Stacjonarny
2024-04-02,Tablet Lenovo,Elektronika,Włochy,34,87160.01,9.85,Sklep Online
2024-07-21,Spodnie jeans,Odzież,Polska,36,72676.85,23.96,Sklep Stacjonarny
2024-08-22,T-shirt basic,Odzież,Włochy,27,40888.39,7.66,Sklep Stacjonarny
2024-08-25,Buty sportowe,Odzież,Francja,4,4446.64,10.44,Sklep Stacjonarny
2024-11-18,T-shirt basic,Odzież,Francja,23,64857.96,25.08,Partner B2B
2024-11-05,MacBook Pro,Elektronika,Niemcy,22,14340.35,22.82,Sklep Online
2024-11-17,Pralka LG,AGD,Włochy,32,39900.45,27.49,Sklep Online
2024-03-27,T-shirt basic,Odzież,Francja,21,41375.89,5.08,Sklep Stacjonarny
2024-08-06,Samsung Galaxy S22,Elektronika,Niemcy,31,42223.07,11.53,Partner B2B
2024-12-27,Zmywarka Bosch,AGD,Hiszpania,24,50725.45,7.19,Sklep Stacjonarny
2024-10-11,Tablet Lenovo,Elektronika,Francja,38,85824.22,23.8,Sklep Online
2024-09-10,Buty sportowe,Odzież,Hiszpania,23,52160.15,10.34,Partner B2B
2024-01-27,Samsung Galaxy S22,Elektronika,Włochy,15,7460.07,19.1,Partner B2B
2024-09-05,Lodówka Samsung,AGD,Hiszpania,45,126678.54,19.56,Sklep Stacjonarny
2024-10-31,Zmywarka Bosch,AGD,Francja,31,49584.42,5.28,Partner B2B
2024-01-13,Zmywarka Bosch,AGD,Francja,9,7165.34,27.25,Sklep Stacjonarny
2024-08-15,MacBook Pro,Elektronika,Polska,20,19231.11,24.71,Partner B2B
2024-01-06,Słuchawki Sony,Elektronika,Hiszpania,11,16184.79,17.75,Partner B2B
2024-12-17,Spodnie jeans,Odzież,Niemcy,1,2830.06,6.83,Partner B2B
2024-12-30,iPhone 14,Elektronika,Niemcy,17,34359.7,6.19,Sklep Online
2024-11-08,T-shirt basic,Odzież,Francja,44,118656.26,9.41,Sklep Stacjonarny
2024-04-28,Zmywarka Bosch,AGD,Polska,37,24410.97,5.39,Sklep Stacjonarny
2024-08-28,Tablet Lenovo,Elektronika,Hiszpania,8,13310.99,13.63,Sklep Stacjonarny
2024-09-21,Zmywarka Bosch,AGD,Polska,38,12668.42,20.86,Sklep Stacjonarny
2024-05-14,Samsung Galaxy S22,Elektronika,Francja,11,12888.44,7.27,Sklep Stacjonarny
2024-06-05,Spodnie jeans,Odzież,Francja,2,1497.74,20.8,Sklep Online
2024-07-10,Lodówka Samsung,AGD,Polska,28,7398.59,21.65,Partner B2B
2024-08-08,MacBook Pro,Elektronika,Polska,10,7740.6,20.15,Sklep Stacjonarny
2024-12-18,Lodówka Samsung,AGD,Francja,46,135979.44,13.45,Sklep Online
2024-11-08,iPhone 14,Elektronika,Hiszpania,35,42769.73,18.96,Partner B2B
2024-09-15,Lodówka Samsung,AGD,Niemcy,13,11016.36,12.37,Sklep Stacjonarny
2024-11-09,Samsung Galaxy S22,Elektronika,Hiszpania,21,36373.22,27.95,Partner B2B
2024-06-30,Kurtka zimowa,Odzież,Hiszpania,39,53441.1,16.07,Sklep Online
2024-01-03,Lodówka Samsung,AGD,Niemcy,43,116816.0,28.39,Sklep Stacjonarny
2024-06-15,MacBook Pro,Elektronika,Hiszpania,4,3076.73,22.66,Partner B2B
2024-07-06,Zmywarka Bosch,AGD,Włochy,6,16780.42,21.63,Sklep Online
2024-02-03,T-shirt basic,Odzież,Niemcy,28,65470.93,7.92,Partner B2B
2024-11-24,Samsung Galaxy S22,Elektronika,Francja,45,42937.02,15.13,Sklep Stacjonarny
2024-11-06,Spodnie jeans,Odzież,Polska,26,55787.34,9.59,Partner B2B
2024-10-12,iPhone 14,Elektronika,Włochy,23,25796.24,7.66,Sklep Stacjonarny
2024-10-07,T-shirt basic,Odzież,Polska,45,130932.89,21.61,Sklep Stacjonarny
2024-11-19,Mikrofalówka Sharp,AGD,Włochy,47,84431.7,10.74,Partner B2B
2024-09-02,Pralka LG,AGD,Francja,9,22333.14,13.29,Sklep Online
2024-03-29,Buty sportowe,Odzież,Niemcy,18,34752.12,29.82,Sklep Stacjonarny
2024-03-27,iPhone 14,Elektronika,Hiszpania,40,86596.18,8.29,Sklep Online
2024-01-19,Mikrofalówka Sharp,AGD,Hiszpania,6,3390.03,7.99,Partner B2B
2024-05-15,Słuchawki Sony,Elektronika,Francja,44,107930.44,23.31,Partner B2B
2024-05-02,Tablet Lenovo,Elektronika,Polska,22,6231.19,19.96,Sklep Stacjonarny
2024-05-10,Kurtka zimowa,Odzież,Francja,1,1780.45,29.97,Sklep Stacjonarny
2024-05-28,iPhone 14,Elektronika,Niemcy,33,48540.27,17.23,Sklep Stacjonarny
2024-04-15,Mikrofalówka Sharp,AGD,Francja,18,43655.55,23.74,Partner B2B
2024-02-27,Lodówka Samsung,AGD,Włochy,27,10620.66,19.3,Sklep Online
2024-03-14,T-shirt basic,Odzież,Włochy,28,22679.39,12.4,Partner B2B
2024-06-27,T-shirt basic,Odzież,Włochy,20,17312.13,28.77,Sklep Online
2024-12-03,Tablet Lenovo,Elektronika,Hiszpania,3,4652.56,6.62,Partner B2B
2024-04-02,Spodnie jeans,Odzież,Hiszpania,28,10646.16,16.2,Sklep Online
2024-08-11,Kurtka zimowa,Odzież,Polska,39,71865.0,12.67,Sklep Online
2024-01-05,T-shirt basic,Odzież,Polska,11,27579.77,25.08,Partner B2B
2024-02-15,Pralka LG,AGD,Włochy,47,65424.26,19.28,Partner B2B
2024-08-12,Zmywarka Bosch,AGD,Polska,12,11613.49,17.51,Sklep Stacjonarny
2024-11-18,Spodnie jeans,Odzież,Francja,48,2729.01,5.67,Sklep Online
2024-11-26,Spodnie jeans,Odzież,Hiszpania,47,107767.26,29.75,Sklep Online
2024-05-20,iPhone 14,Elektronika,Włochy,28,58484.42,20.87,Partner B2B
2024-05-28,Spodnie jeans,Odzież,Włochy,34,92448.29,20.03,Sklep Stacjonarny
2024-10-02,Zmywarka Bosch,AGD,Polska,4,9223.58,21.01,Sklep Stacjonarny
2024-03-10,Mikrofalówka Sharp,AGD,Francja,24,26454.06,17.92,Sklep Online
2024-02-02,MacBook Pro,Elektronika,Francja,12,5600.0,6.86,Sklep Online
2024-07-19,Samsung Galaxy S22,Elektronika,Polska,9,4068.29,29.31,Sklep Stacjonarny
2024-11-21,T-shirt basic,Odzież,Włochy,47,11932.51,13.61,Partner B2B
2024-09-12,Kurtka zimowa,Odzież,Francja,7,8031.61,12.96,Sklep Online
2024-08-24,Buty sportowe,Odzież,Włochy,45,96591.61,28.76,Partner B2B
2024-05-13,iPhone 14,Elektronika,Polska,44,107564.17,9.98,Sklep Online
2024-10-05,Pralka LG,AGD,Niemcy,36,15208.55,10.28,Sklep Stacjonarny
2024-07-16,T-shirt basic,Odzież,Włochy,3,292.01,24.47,Sklep Stacjonarny
2024-01-12,T-shirt basic,Odzież,Włochy,11,5904.79,9.33,Sklep Stacjonarny
2024-05-30,Zmywarka Bosch,AGD,Hiszpania,2,4252.66,9.88,Sklep Online
2024-05-08,Słuchawki Sony,Elektronika,Włochy,1,2130.43,17.22,Sklep Stacjonarny
2024-11-19,Samsung Galaxy S22,Elektronika,Francja,24,26688.46,12.82,Sklep Online
2024-01-23,iPhone 14,Elektronika,Francja,33,95464.39,10.55,Partner B2B
2024-02-13,MacBook Pro,Elektronika,Francja,40,80672.3,26.94,Sklep Online
2024-06-11,Zmywarka Bosch,AGD,Hiszpania,17,29399.67,16.03,Partner B2B
2024-05-19,Spodnie jeans,Odzież,Francja,50,46808.72,18.95,Sklep Stacjonarny
2024-11-16,iPhone 14,Elektronika,Włochy,36,84630.52,12.9,Partner B2B
2024-02-13,Tablet Lenovo,Elektronika,Niemcy,29,64155.62,19.58,Partner B2B
2024-05-10,Samsung Galaxy S22,Elektronika,Francja,18,50769.29,5.85,Sklep Online
2024-05-07,Słuchawki Sony,Elektronika,Hiszpania,4,11930.71,11.36,Sklep Online
2024-06-26,Pralka LG,AGD,Hiszpania,2,4289.94,17.32,Sklep Stacjonarny
2024-04-30,Lodówka Samsung,AGD,Francja,44,52088.39,15.9,Partner B2B
2024-09-29,Lodówka Samsung,AGD,Hiszpania,43,30522.28,24.31,Partner B2B
2024-11-22,Buty sportowe,Odzież,Hiszpania,49,80859.01,14.62,Sklep Stacjonarny
2024-04-04,Samsung Galaxy S22,Elektronika,Hiszpania,4,8577.73,26.47,Sklep Online
2024-03-22,Tablet Lenovo,Elektronika,Niemcy,45,50543.36,25.62,Sklep Stacjonarny
2024-09-27,Mikrofalówka Sharp,AGD,Niemcy,40,3263.64,6.21,Partner B2B
2024-05-25,Buty sportowe,Odzież,Włochy,39,54644.01,8.88,Sklep Stacjonarny
2024-06-27,Zmywarka Bosch,AGD,Niemcy,14,32481.18,8.67,Partner B2B
2024-12-01,Mikrofalówka Sharp,AGD,Polska,49,127992.98,16.28,Partner B2B
2024-07-25,Tablet Lenovo,Elektronika,Polska,8,13439.4,25.38,Sklep Online
2024-05-18,Kurtka zimowa,Odzież,Niemcy,14,16556.15,18.46,Sklep Online
2024-02-13,Zmywarka Bosch,AGD,Polska,33,1793.67,9.58,Sklep Stacjonarny
2024-11-23,Buty sportowe,Odzież,Włochy,39,34197.57,14.7,Partner B2B
2024-05-17,iPhone 14,Elektronika,Hiszpania,16,35445.24,7.32,Sklep Online
2024-06-30,Pralka LG,AGD,Niemcy,8,8830.47,10.85,Sklep Stacjonarny
2024-11-03,Zmywarka Bosch,AGD,Hiszpania,26,21048.53,24.49,Sklep Online
2024-11-22,iPhone 14,Elektronika,Niemcy,50,115461.39,9.06,Sklep Online
2024-06-16,Tablet Lenovo,Elektronika,Włochy,33,15983.8,11.48,Sklep Online
2024-12-27,iPhone 14,Elektronika,Włochy,2,5022.07,29.74,Sklep Online
2024-10-07,T-shirt basic,Odzież,Hiszpania,37,3291.53,29.97,Sklep Stacjonarny
2024-08-30,Mikrofalówka Sharp,AGD,Polska,39,96023.69,15.31,Partner B2B
2024-04-25,Zmywarka Bosch,AGD,Włochy,35,104149.96,7.33,Sklep Stacjonarny
2024-09-04,Słuchawki Sony,Elektronika,Polska,45,61473.68,13.83,Sklep Stacjonarny
2024-08-30,T-shirt basic,Odzież,Niemcy,16,26773.96,10.15,Partner B2B
2024-12-10,Lodówka Samsung,AGD,Niemcy,42,82017.72,21.49,Sklep Stacjonarny
2024-07-03,Samsung Galaxy S22,Elektronika,Polska,36,22238.18,16.1,Sklep Stacjonarny
2024-11-24,Lodówka Samsung,AGD,Niemcy,15,9008.43,18.25,Partner B2B
